,N24,N23,N22,N21,N20,N19,N18,N17,N16,N15,N14,N13,N12,N11,N10,N9,N8,N7,N6,N5,N4,N3,N2,N1,CEN,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,W1,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
N24,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N23,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N22,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N21,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
